time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	6.94064e-310	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.714385	0.588575	7.07223	-2.51248e-17	1.16739e-17	radar	74.387	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.16102	0.493484	7.07461	-0.0688237	-0.00827428	lidar	0.18511	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.27667	0.513688	7.06966	0.192121	0.0387198	radar	1.81008	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61355	0.594659	7.08885	0.245144	0.0529274	lidar	0.201643	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.82124	0.569764	6.33898	0.0935903	-0.0572556	radar	4.2477	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.15302	0.61607	6.35345	0.108316	-0.0294142	lidar	0.160122	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.36906	0.643185	5.59886	0.089216	-0.215649	radar	7.84117	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.64807	0.666152	5.60135	0.0777275	-0.21915	lidar	0.00305765	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.91512	0.656009	5.5169	0.020013	-0.419745	radar	0.506306	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15051	0.653385	5.47431	0.00447849	-0.392927	lidar	1.09565	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.43824	0.545713	5.50928	-0.158144	-0.875272	radar	1.49586	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74324	0.430869	5.58088	-0.288084	-1.13805	lidar	2.22809	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02276	0.516544	5.54275	-0.143745	-0.572992	radar	4.06923	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.29686	0.507589	5.52588	-0.13858	-0.489722	lidar	0.341669	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.55699	0.543063	5.44403	-0.0975803	-0.344527	radar	1.96989	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.74448	0.651653	5.27689	0.00817828	-0.0815988	lidar	12.5317	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.99694	0.649694	5.21607	-0.00135367	-0.0925636	radar	1.89575	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.29879	0.645267	5.26944	-0.0108007	-0.102684	lidar	2.56593	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.55673	0.652472	5.28612	-0.00587507	-0.084091	radar	1.6984	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.85082	0.667882	5.32052	0.000876091	-0.0666589	lidar	1.64143	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.09469	0.593206	5.26456	-0.0535478	-0.148154	radar	3.70466	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.35024	0.706881	5.23863	0.0211175	-0.02427	lidar	3.99149	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.60135	0.737284	5.20276	0.0346962	-0.00313954	radar	0.68911	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.84944	0.736323	5.18989	0.0291048	-0.0104682	lidar	0.266935	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.09435	0.718731	5.12249	0.0131619	-0.032097	radar	3.21959	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.31562	0.802761	5.07718	0.0567142	0.0270113	lidar	3.30027	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.60544	0.813229	5.15965	0.0555812	0.0239012	radar	4.15055	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.85575	0.793248	5.15174	0.0392446	0.00241579	lidar	0.485826	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.10688	0.809603	5.10648	0.0417776	0.00447025	radar	2.50765	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.34493	0.828212	5.08648	0.0463862	0.00986815	lidar	0.500493	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.61134	0.912692	5.15176	0.0825575	0.0526681	radar	7.00079	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.84859	0.971944	5.12988	0.103601	0.0741896	lidar	0.942687	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.13626	1.00852	5.1794	0.110701	0.0777238	radar	6.72492	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.37342	1.04336	5.15591	0.117955	0.0818104	lidar	0.721622	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.6512	1.11227	5.2	0.138453	0.100259	radar	4.64735	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.92305	1.23848	5.22653	0.18302	0.144923	lidar	3.52158	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.1737	1.32344	5.1849	0.207688	0.165719	radar	4.88467	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3998	1.40663	5.15678	0.230074	0.18212	lidar	1.37757	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6347	1.48752	5.08833	0.251239	0.19805	radar	4.33094	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8614	1.52499	5.05999	0.250717	0.186636	lidar	1.1822	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1256	1.57535	5.09096	0.252327	0.177078	radar	1.73306	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4032	1.62664	5.12522	0.252995	0.167238	lidar	1.77345	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6358	1.68357	5.08538	0.259801	0.166498	radar	0.933417	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8663	1.75147	5.06852	0.270072	0.168942	lidar	0.398246	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1207	1.83848	5.11074	0.284491	0.174508	radar	1.39417	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3629	1.87314	5.09589	0.277084	0.156229	lidar	0.585058	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6174	1.93368	5.12973	0.278472	0.147566	radar	0.943316	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8187	2.06642	5.09792	0.316593	0.183024	lidar	3.54702	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0831	2.17012	5.1717	0.331141	0.186412	radar	3.6431	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
