time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443399637	8.46292	0.243462	0	0	0	radar	6.89998e-310	8.46292	0.243462	8.6	0.25	-3.00029	0
1477010443449633	8.4485	0.251375	-0.000719494	5.12286e-18	0	lidar	0.000275958	8.44818	0.251553	8.45	0.25	-3.00027	0
1477010443499690	8.47145	0.2488	-0.00548363	1.9319e-06	2.63588e-07	radar	0.12598	8.56759	0.241943	8.45	0.25	0	0
1477010443549747	8.46433	0.250982	-0.00833993	-1.25048e-05	-2.11661e-06	lidar	0.0065375	8.45582	0.253997	8.45	0.25	0	0
1477010443604698	8.37667	0.251326	-0.903503	0.000824322	0.000256535	radar	19.6877	8.42544	0.254042	8.35	0.25	-1.81979	0
1477010443659650	8.30948	0.250664	-0.923648	0.00193854	0.000552442	lidar	0.322852	8.23962	0.24916	8.25	0.25	-1.81978	0
1477010443709653	8.10593	0.240587	-1.22114	0.0873542	0.0299541	radar	20.7307	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994
1477010443759657	8.00322	0.212882	-1.26553	0.196825	0.0624691	lidar	1.82154	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993
1477010443809660	7.82678	0.214857	-1.43765	-0.176332	-0.0907221	radar	9.87414	7.61269	0.155818	7.7	0.15	-2.99982	0
1477010443859663	7.71978	0.192978	-1.48771	0.0123534	-0.019104	lidar	2.0358	7.54016	0.159641	7.55	0.15	-2.99982	0
1477010443914714	7.60922	0.162715	-1.56928	0.169429	0.0439765	radar	1.86545	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239
1477010443969766	7.49937	0.0911144	-1.61634	0.432474	0.150716	lidar	1.72865	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823
1477010444024741	7.33477	0.17539	-1.79319	-0.324584	-0.447375	radar	7.55072	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507
